Nr.,Titlu Produs,Brand,Material,Preț Oficial (LEI),Cale Imagine Locală,URL Master Slab,URL Produs top-blat.ro
85,Cinder Craze – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/cinder-craze-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CINDER-CRAZE-2-SILESTONE.avif,https://top-blat.ro/produs/cinder-craze-quartz-silestone/
86,Classic Calacatta – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/classic-calacatta-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CLASSIC-CALACATTA-2-SILESTONE.avif,https://top-blat.ro/produs/classic-calacatta-quartz-silestone/
87,Concrete Pulse – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/concrete-pulse-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CONCRETE-PULSE-2-SILESTONE.avif,https://top-blat.ro/produs/concrete-pulse-quartz-silestone/
88,Cooper Mist – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/cooper-mist-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/COPPER-MIST-2-SILESTONE.avif,https://top-blat.ro/produs/cooper-mist-quartz-silestone/
89,Coral Clay Colour – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/coral-clay-colour-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CORAL-CLAY-COLOUR-2-SILESTONE.avif,https://top-blat.ro/produs/coral-clay-colour-quartz-silestone/
90,Corktown – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/corktown-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CORKTOWN-2-SILESTONE.avif,https://top-blat.ro/produs/corktown-quartz-silestone/
91,Cosmic – Quartz Coante,Coante,Cuarț Compozit,"1.946,721 lei/mp",culori_quartz/images/cosmic-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/cosmic-quartz-compozit.avif,https://top-blat.ro/produs/cosmic-quartz-coante/
92,Cream Prestige – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/cream-prestige-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CREAM-PRESTIGE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/cream-prestige-ceramica-atlas-plan/
93,Cristallo Gold BM Carres – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/cristallo-gold-bm-carres-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRISTALLO-GOLD-BM-CARESS-2-LAMINAM-2.avif,https://top-blat.ro/produs/cristallo-gold-bm-carres-ceramica-laminam/
94,Crystal Absolute White – Quartz Technistone,Technistone,Cuarț Compozit,"2.721,003 lei/mp",culori_quartz/images/crystal-absolute-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-ABSOLUTE-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-absolute-white-quartz-technistone/
95,Crystal Anthracite Pure – Quartz Technistone,Technistone,Cuarț Compozit,"1.801,218 lei/mp",culori_quartz/images/crystal-anthracite-pure-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-ANTHRACITE-PURE-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-anthracite-pure-quartz-technistone/
96,Crystal Belgium – Quartz Technistone,Technistone,Cuarț Compozit,"1.571,259 lei/mp",culori_quartz/images/crystal-belgium-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-BELGIUM-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-belgium-quartz-technistone/
97,Crystal Calacatta Silva – Quartz Technistone,Technistone,Cuarț Compozit,"3.217,335 lei/mp",culori_quartz/images/crystal-calacatta-silva-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-CALACATTA-SILVA-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-calacatta-silva-quartz-technistone/
98,Crystal Carrara – Quartz Coante,Coante,Cuarț Compozit,"2.647,920 lei/mp",culori_quartz/images/crystal-carrara-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-CARRARA-2-COANTE-3.avif,https://top-blat.ro/produs/crystal-carrara-quartz-coante/
99,Crystal Diamond – Quartz Technistone,Technistone,Cuarț Compozit,"2.050,302 lei/mp",culori_quartz/images/crystal-diamond-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-DIAMOND-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-diamond-quartz-technistone/
100,Crystal Nevada – Quartz Technistone,Technistone,Cuarț Compozit,"1.571,259 lei/mp",culori_quartz/images/crystal-nevada-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-NEVADA-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-nevada-quartz-technistone/
101,Crystal Polar White – Quartz Technistone,Technistone,Cuarț Compozit,"2.210,085 lei/mp",culori_quartz/images/crystal-polar-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-POLAR-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-polar-white-quartz-technistone/
102,Crystal Royal – Quartz Technistone,Technistone,Cuarț Compozit,"1.801,218 lei/mp",culori_quartz/images/crystal-royal-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-ROYAL-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-royal-quartz-technistone/
103,Crystal Vulcano – Quartz Technistone,Technistone,Cuarț Compozit,"2.210,085 lei/mp",culori_quartz/images/crystal-vulcano-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-VULCANO-3-TECHNISTONE.avif,https://top-blat.ro/produs/crystal-vulcano-quartz-technistone/
104,Crystal White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/crystal-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CRYSTAL-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/crystal-white-ceramica-atlas-plan/
105,Desert Silver – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/desert-silver-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/DESERT-SILVER-2-SILESTONE.avif,https://top-blat.ro/produs/desert-silver-quartz-silestone/
106,Desert Soul – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/desert-soul-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/DESERT-SOUL-2-ATLAS-PLAN-1.webp,https://top-blat.ro/produs/desert-soul-ceramica-atlas-plan/
107,Diamond Cream Natural – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.066,673 lei/mp",culori_quartz/images/diamond-cream-natural-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/DIAMOND-CREAM-NATURAL-2-LAMINAM-2.avif,https://top-blat.ro/produs/diamond-cream-natural-ceramica-laminam/
108,Dreamy – Quartz Coante,Coante,Cuarț Compozit,"2.083,860 lei/mp",culori_quartz/images/dreamy-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Dreamy-quartz-compozit.avif,https://top-blat.ro/produs/dreamy-quartz-coante/
109,Eclectic Pearl – Quartz Silestone,Silestone,Cuarț Compozit,"9.309,387 lei/mp",culori_quartz/images/eclectic-pearl-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ECLECTIC-PEARL-2-SILESTONE.avif,https://top-blat.ro/produs/eclectic-pearl-quartz-silestone/
110,Elegance Eco Nev – Quartz Technistone,Technistone,Cuarț Compozit,"1.494,606 lei/mp",culori_quartz/images/elegance-eco-nev-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ELEGANCE-ECO-NEV-3-TECHNISTONE.avif,https://top-blat.ro/produs/elegance-eco-nev-quartz-technistone/
111,Elvas – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/elvas-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ELVAS-CIMSTONE.avif,https://top-blat.ro/produs/elvas-quartz-cimstone/
112,Elysee – Quartz alb Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/elysee-quartz-alb-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/elysee-quartz-compozit.avif,https://top-blat.ro/produs/elysee-quartz-alb-coante/
113,Et. Bella – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/et-bella-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-BELLA-2-SILESTONE.avif,https://top-blat.ro/produs/et-bella-quartz-silestone/
114,Et. Calacatta Gold – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/et-calacatta-gold-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-CALACATTA-GOLD-2-SILESTONE.avif,https://top-blat.ro/produs/et-calacatta-gold-quartz-silestone/
115,Et. Dor – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/et-dor-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-DOR-2-SILESTONE.avif,https://top-blat.ro/produs/et-dor-quartz-silestone/
116,Et. Marfil – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/et-marfil-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-MARFIL-2-SILESTONE.avif,https://top-blat.ro/produs/et-marfil-quartz-silestone/
117,Et. Marquina – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/et-marquina-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-MARQUINA-2-SILESTONE.avif,https://top-blat.ro/produs/et-marquina-quartz-silestone/
118,Et. Noir – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/et-noir-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-NOIR-2-SILESTONE.avif,https://top-blat.ro/produs/et-noir-quartz-silestone/
119,Et. Statuario – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/et-statuario-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ET-STATUARIO-2-SILESTONE.avif,https://top-blat.ro/produs/et-statuario-quartz-silestone/
120,Eternal Serena – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/eternal-serena-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETERNAL-SERENA-2-SILESTONE.avif,https://top-blat.ro/produs/eternal-serena-quartz-silestone/
121,Ethereal Cloud – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/ethereal-cloud-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETHEREAL-CLOUD-2-SILESTONE.avif,https://top-blat.ro/produs/ethereal-cloud-quartz-silestone/
122,Ethereal Dusk – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/ethereal-dusk-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETHEREAL-DUSK-2-SILESTONE.avif,https://top-blat.ro/produs/ethereal-dusk-quartz-silestone/
123,Ethereal Glow – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/ethereal-glow-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETHEREAL-GLOW-2-SILESTONE.avif,https://top-blat.ro/produs/ethereal-glow-quartz-silestone/
124,Ethereal Haze – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/ethereal-haze-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETHEREAL-HAZE-2-SILESTONE.avif,https://top-blat.ro/produs/ethereal-haze-quartz-silestone/
125,Ethereal Indigo – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/ethereal-indigo-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETHEREAL-INDIGO-2-SILESTONE.avif,https://top-blat.ro/produs/ethereal-indigo-quartz-silestone/
126,Ethereal Noctis – Quartz Silestone,Silestone,Cuarț Compozit,"8.316,417 lei/mp",culori_quartz/images/ethereal-noctis-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETHEREAL-NOCTIS-2-SILESTONE.avif,https://top-blat.ro/produs/ethereal-noctis-quartz-silestone/
127,Etna – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/etna-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ETNA-CIMSTONE.avif,https://top-blat.ro/produs/etna-quartz-cimstone/
128,Exotic Green – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/exotic-green-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/EXOTIC-GREEN-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/exotic-green-ceramica-atlas-plan/
129,Exotic Wave – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/exotic-wave-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/EXOTIC-WAVE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/exotic-wave-ceramica-atlas-plan/
130,Faro White – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/faro-white-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/FARO-WHITE-2-SILESTONE.avif,https://top-blat.ro/produs/faro-white-quartz-silestone/
131,Fior Di Bosco – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/fior-di-bosco-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/FIOR-DI-BOSCO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/fior-di-bosco-ceramica-atlas-plan/
132,Gaia – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/gaia-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/gaia-quartz-compozit.avif,https://top-blat.ro/produs/gaia-quartz-coante/
133,Glencoe – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/glencoe-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/GLENCOE-3-TECHNISTONE.avif,https://top-blat.ro/produs/glencoe-quartz-technistone/
134,Gobi Black – Quartz Technistone,Technistone,Cuarț Compozit,"1.820,394 lei/mp",culori_quartz/images/gobi-black-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/GOBI-BLACK-3-TECHNISTONE.avif,https://top-blat.ro/produs/gobi-black-quartz-technistone/
135,Gobi Grey – Quartz Technistone,Technistone,Cuarț Compozit,"1.571,259 lei/mp",culori_quartz/images/gobi-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/GOBI-GREY-3-TECHNISTONE-1.avif,https://top-blat.ro/produs/gobi-grey-quartz-technistone/
136,Gobi Urban – Quartz Technistone,Technistone,Cuarț Compozit,"1.571,259 lei/mp",culori_quartz/images/gobi-urban-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/GOBI-URBAN-3-TECHNISTONE.avif,https://top-blat.ro/produs/gobi-urban-quartz-technistone/
137,Grey Stone – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/grey-stone-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/GREY-STONE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/grey-stone-ceramica-atlas-plan/
138,Gris Expo – Quartz Silestone,Silestone,Cuarț Compozit,"3.847,899 lei/mp",culori_quartz/images/gris-expo-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/GRIS-EXPO-2-SILESTONE.avif,https://top-blat.ro/produs/gris-expo-quartz-silestone/
139,Halcyon – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/halcyon-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/HALCYON-2-SILESTONE.avif,https://top-blat.ro/produs/halcyon-quartz-silestone/
140,Harmonia Navajo – Quartz Technistone,Technistone,Cuarț Compozit,"1.820,394 lei/mp",culori_quartz/images/harmonia-navajo-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/HARMANIA-NAVAJO-3-TECHNISTONE.avif,https://top-blat.ro/produs/harmonia-navajo-quartz-technistone/
141,Helix – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/helix-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/HELIX-2-SILESTONE.avif,https://top-blat.ro/produs/helix-quartz-silestone/
142,Hermes – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/hermes-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/HERMES-CIMSTONE.avif,https://top-blat.ro/produs/hermes-quartz-cimstone/
143,Hielo – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/hielo-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Hielo-quartz-compozit.avif,https://top-blat.ro/produs/hielo-quartz-coante/
144,Hygassos – Quartz Coante,Coante,Cuarț Compozit,"2.018,019 lei/mp",culori_quartz/images/hygassos-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/hygassos-quartz-coante.avif,https://top-blat.ro/produs/hygassos-quartz-coante/
145,Ice Crystal – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/ice-crystal-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/ICE-CRYSTAL-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/ice-crystal-ceramica-atlas-plan/
146,Iconic White – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/iconic-white-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ICONIC-WHITE-2-SILESTONE.avif,https://top-blat.ro/produs/iconic-white-quartz-silestone/
147,Idyma – Quartz Coante,Coante,Cuarț Compozit,"2.018,019 lei/mp",culori_quartz/images/idyma-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/idyma-coante.avif,https://top-blat.ro/produs/idyma-quartz-coante/
148,Iglo – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/iglo-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/IGLO-CIMSTONE.avif,https://top-blat.ro/produs/iglo-quartz-cimstone/
149,Imagine Grey – Quartz Technistone,Technistone,Cuarț Compozit,"3.455,658 lei/mp",culori_quartz/images/imagine-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/IMAGINE-GREY-3-TECHNISTONE.avif,https://top-blat.ro/produs/imagine-grey-quartz-technistone/
150,Kalynda – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/kalynda-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Kalynda-quartz-compozit.avif,https://top-blat.ro/produs/kalynda-quartz-coante/
151,Katanya – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/katanya-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/KATANYA-CIMSTONE.avif,https://top-blat.ro/produs/katanya-quartz-cimstone/
152,Kaunos – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/kaunos-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/kaunos-quartz-compozit.avif,https://top-blat.ro/produs/kaunos-quartz-coante/
153,Kensho – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/kensho-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/KENSHO-2-SILESTONE.avif,https://top-blat.ro/produs/kensho-quartz-silestone/
154,Keramos – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/keramos-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/keramos-quartz-compozit.avif,https://top-blat.ro/produs/keramos-quartz-coante/
155,Kone Mixt – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/kone-mixt-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/KONE-MIX-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/kone-mixt-ceramica-atlas-plan/
156,Lagoon – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/lagoon-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/LAGOON-2-SILESTONE.avif,https://top-blat.ro/produs/lagoon-quartz-silestone/
157,Lapland – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/lapland-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/LAPLAND-CIMSTONE.avif,https://top-blat.ro/produs/lapland-quartz-cimstone/
158,Lebedos – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/lebedos-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/LEBEDOS-CIMSTONE.avif,https://top-blat.ro/produs/lebedos-quartz-cimstone/
159,Light Grey Stone – Ceramica Atlas Plane,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/light-grey-stone-ceramica-atlas-plane.webp,https://top-blat.ro/wp-content/uploads/2025/10/LIGHT-GREY-STONE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/light-grey-stone-ceramica-atlas-plane/
160,Lime Delight – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/lime-delight-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/LIME-DELIGHT-2-SILESTONE.avif,https://top-blat.ro/produs/lime-delight-quartz-silestone/
161,Lusso – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/lusso-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/LUSSO-2-SILESTONE.avif,https://top-blat.ro/produs/lusso-quartz-silestone/
162,Lyra – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/lyra-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/LYRA-2-SILESTONE.avif,https://top-blat.ro/produs/lyra-quartz-silestone/
163,Magnetite- Quartz Coante,Coante,Cuarț Compozit,"1.902,861 lei/mp",culori_quartz/images/magnetite-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Magnetite-quartz-compozit.avif,https://top-blat.ro/produs/magnetite-quartz-coante/
164,Magnificent – Quartz Coante,Coante,Cuarț Compozit,"2.083,860 lei/mp",culori_quartz/images/magnificent-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Magnificent-quartz-compozit.avif,https://top-blat.ro/produs/magnificent-quartz-coante/
165,Majestic Brown Ultra – Quartz Coante,Coante,Cuarț Compozit,"2.972,637 lei/mp",culori_quartz/images/majestic-brown-ultra-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/Majestic-Brown-Ultra-2-1.avif,https://top-blat.ro/produs/majestic-brown-ultra-quartz-coante/
166,Marengo – Quartz Silestone,Silestone,Cuarț Compozit,"3.847,899 lei/mp",culori_quartz/images/marengo-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/MORENGO-2-SILESTONE.avif,https://top-blat.ro/produs/marengo-quartz-silestone/
167,Miami Vena – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/miami-vena-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/MIAMI-VENA-2-SILESTONE.avif,https://top-blat.ro/produs/miami-vena-quartz-silestone/
168,Miami White – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/miami-white-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/MIAMI-WHITE-2-SILESTONE.avif,https://top-blat.ro/produs/miami-white-quartz-silestone/
169,Milet – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/milet-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Milet-quartz-compozit.avif,https://top-blat.ro/produs/milet-quartz-coante/
170,Mora – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/mora-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/MORA-CIMSTONE.avif,https://top-blat.ro/produs/mora-quartz-cimstone/
171,Mystery White – Quartz Technistone,Technistone,Cuarț Compozit,"3.217,335 lei/mp",culori_quartz/images/mystery-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/MYSTERY-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/mystery-white-quartz-technistone/
172,Mystic Blue – Quartz Coante,Coante,Cuarț Compozit,"1.974,159 lei/mp",culori_quartz/images/mystic-blue-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Mystic-Blue-quartz-coante.avif,https://top-blat.ro/produs/mystic-blue-quartz-coante/
173,Narcissus – Quartz Coante,Coante,Cuarț Compozit,"1.946,721 lei/mp",culori_quartz/images/narcissus-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Narcissus-quartz-compozit.avif,https://top-blat.ro/produs/narcissus-quartz-coante/
174,Natural Roots – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/natural-roots-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NATURAL-ROOTS-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/natural-roots-ceramica-atlas-plan/
175,Negresco – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/negresco-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NEGRESCO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/negresco-ceramica-atlas-plan/
176,Negro Stellar – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/negro-stellar-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NEGRO-STELLAR-2-SILESTONE.avif,https://top-blat.ro/produs/negro-stellar-quartz-silestone/
